Name,Address,Type,Bedroom limit,Guest limit,Expiration date,Location,x,y
ROYAL STREET COURTYARD,2438 ROYAL ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9647083796932, -90.0531139679717)",3686198.55337,534922.67847
2630 Peniston ST Apt B,2630 Peniston ST Apt B,Temporary STR,1,2,02/15/2019 11:59:59 PM,"(29.937395697079, -90.0984845167245)",3671940.14516,524833.09984
412 39Th St,412 39Th St,Temporary STR,2,4,07/31/2019 09:21:01 PM,"(30.014992137043, -90.1196174827276)",3664948.18516,552978.7357
HOMEWOOD SUITES NEW ORLEANS FRENCH QUARTER,317 N RAMPART ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9576009355358, -90.0713523886403)",3680452.28898,532274.086787
925 Common St Unit 1202,925 Common St Unit 1202,Commercial STR,2,4,06/25/2019 10:33:54 AM,"(29.9538143719991, -90.0729985743262)",3679946.17397,530891.41479
1450 N Robertson St,1450 N Robertson St,Temporary STR,3,6,02/27/2019 04:24:44 PM,"(29.9697465844181, -90.066642350665)",3681894.88495,536707.15348
800 Common St Unit 1006,800 Common St Unit 1006,Temporary STR,1,2,04/05/2019 11:59:59 PM,"(29.9526533973297, -90.0714431372987)",3680443.36687,530474.66253
THE BEN LOUIE,3610 TULANE AVE,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9662314258878, -90.1011156945354)",3670994.05703,535309.890694
OMNI RIVERFRONT HOTEL,701 CONVENTION CENTER BLVD,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.945611962483, -90.0648823536018)",3682549.2685,527937.079423
501 David St,501 David St,Commercial STR,3,6,09/24/2019 11:59:59 PM,"(29.9783663267496, -90.0985129942867)",3671770.57204,539731.48251
CORNSTALK HOTEL,915 ROYAL ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9599759434133, -90.0631271156077)",3683047.22428,533166.505668
1417 Constance,1417 Constance,Commercial STR,3,6,05/29/2019 11:59:59 PM,"(29.9304176929256, -90.0752782630531)",3679317.70002,522375.59625
FOUR POINTS BY SHERATON FRENCH QUARTER,541 BOURBON ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9576904055684, -90.0666444841706)",3681942.674,532323.070467
ALOFT NEW ORLEANS DOWNTOWN,225 BARONNE ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9525814026875, -90.072487820335)",3680112.84251,530444.840962
201 Magazine St Unit 604,201 Magazine St Unit 604,Commercial STR,1,2,04/11/2019 11:04:35 AM,"(29.9510959450407, -90.0677733085367)",3681611.72069,529921.13232
ALOFT NEW ORLEANS DOWNTOWN,225 BARONNE ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9525814026875, -90.072487820335)",3680112.84251,530444.840962
LA MAISON MARIGNY B & B,1421 BOURBON ST,4703 - BED & BREAKFAST INNS,,,,"(29.9643998956067, -90.0603453121169)",3683910.18069,534784.993094
DAUPHINE ORLEANS HOTEL,415 DAUPHINE ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9572993395706, -90.0683973333859)",3681389.20968,532174.732931
THE TROUBADOUR,1111 GRAVIER ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9532525192454, -90.0743518502541)",3679519.89135,530682.39341
CHATEAU MANAGEMENT,527 MANDEVILLE ST,4703 - BED & BREAKFAST INNS,,,,"(29.9634582238479, -90.0538493324191)",3685970.79548,534465.475141
SUN OAK MUSEUM AND GUEST HOUSE,2020 BURGUNDY ST,4703 - BED & BREAKFAST INNS,,,,"(29.9663748738259, -90.0584939546251)",3684488.37705,535509.685382
841 Bourbon St,841 Bourbon St,Commercial STR,2,4,03/06/2019 11:59:59 PM,"(29.9602328240264, -90.0642919422026)",3682677.35964,533255.83021
KERLEREC GUEST HOUSE,928 KERLEREC ST,4703 - BED & BREAKFAST INNS,,,,"(29.9657114128875, -90.061658437441)",3683489.119,535257.292806
WEBBER'S MOTEL,9300 CHEF MENTEUR HWY,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(30.0158117790327, -89.9770361297319)",3710066.57937,553782.809815
925 Common St Unit 705,925 Common St Unit 705,Commercial STR,1,2,05/16/2019 11:59:59 PM,"(29.9537776799868, -90.072622334395)",3680065.46065,530879.38286
SONIAT HOUSE,1133 CHARTRES ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9612262519371, -90.0605305332607)",3683864.35426,533630.287429
1508 St Ann St,1508 St Ann St,Temporary STR,5,10,05/22/2019 11:59:59 PM,"(29.9637240009895, -90.0713171468178)",3680438.92495,534500.78433
1335 St Roch Ave,1335 St Roch Ave,Accessory STR,2,4,03/27/2019 11:59:59 PM,"(29.9716481237431, -90.0521201628896)",3686484.99913,537449.74286
2030 Desire St,2030 Desire St,Commercial STR,3,6,10/04/2019 11:59:59 PM,"(29.9767775292296, -90.0378050688662)",3690996.09545,539365.94273
THE RITZ CARLTON HOTEL CO LLC,921 CANAL ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9552319133722, -90.0707928216254)",3680638.96635,531414.574531
4520 St Ann St,4520 St Ann St,Accessory STR,1,2,07/08/2019 11:59:59 PM,"(29.9833917401982, -90.1004601220518)",3671134.48366,541552.28264
"MAISON DES LUNES, LLC",601 ELYSIAN FIELDS AVE,4703 - BED & BREAKFAST INNS,,,,"(29.9637047358987, -90.0561796136561)",3685231.96367,534546.884613
ECONO LODGE,4940 CHEF MENTEUR HWY,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(30.0064109263661, -90.0321499976564)",3692664.04035,550162.042772
NEW ORLEANS GUEST HOUSE,1118 URSULINES AVE,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9640223319493, -90.0660389894792)",3682108.93615,534627.713606
1515 Pauger St,1515 Pauger St,Accessory STR,2,4,06/25/2019 09:27:48 AM,"(29.9657238576619, -90.0600235557644)",3684006.7069,535267.56673
1201 Baronne St Unit 3,1201 Baronne St Unit 3,Commercial STR,,,08/12/2019 07:38:14 PM,"(29.942646389771, -90.0764936002241)",3678883.98619,526818.16915
2930 Laurel St,2930 Laurel St,Accessory STR,1,2,04/15/2019 04:12:27 PM,"(29.923335230916, -90.0831791405991)",3676843.32437,519772.76889
1039 Constance St Apt Unit 6,1039 Constance St Apt Unit 6,Commercial STR,3,6,10/08/2019 11:54:54 AM,"(29.9417423673576, -90.0696332744949)",3681060.2409,526513.32981
CREOLE HOUSE,1013 ST ANN ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9609569415225, -90.0668990679786)",3681848.93237,533510.012804
3037 General Taylor St,3037 General Taylor St,Accessory STR,2,4,10/11/2019 11:59:59 PM,"(29.9414387919319, -90.1000519866581)",3671427.88417,526297.97286
102 Winthrop Pl,102 Winthrop Pl,Temporary STR,4,8,05/01/2019 11:59:59 PM,"(29.9894044923362, -90.0791095085225)",3677869.42837,543812.1051
201 Magazine St Unit 406,201 Magazine St Unit 406,Commercial STR,1,2,09/18/2019 11:24:57 AM,"(29.9511356086752, -90.0677196435645)",3681628.55535,529935.74317
7828 Willow St,7828 Willow St,Temporary STR,4,8,04/03/2019 11:59:59 PM,"(29.9470755772907, -90.1263857243463)",3663066.40429,528258.9193
905 ROYAL HOTEL,905 ROYAL ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9598577782522, -90.0631994674944)",3683024.79112,533123.2825
1215 Touro St,1215 Touro St,Temporary STR,2,4,02/15/2019 12:27:04 PM,"(29.9698133306358, -90.0593001560686)",3684219.21596,536757.19713
4943 Redwood St,4943 Redwood St,Temporary STR,1,2,05/03/2019 11:59:59 PM,"(29.9738799103551, -90.087171828272)",3675378.72379,538138.91822
APARIUM HOTEL GROUP,2031 SAINT CHARLES AVE,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9350756233905, -90.0795900214212)",3677933.48789,524054.419644
HILTON GARDEN INN FRENCH QUARTER/CBD,821 GRAVIER ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9523210422171, -90.0718696042826)",3680309.65109,530352.318978
ST. JAMES HOTEL,330 MAGAZINE ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9497642568617, -90.0677663985238)",3681619.25736,529436.905921
LA QUINTA INN & SUITES #983  4701,301 CAMP ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9508686776476, -90.0690180842279)",3681218.45218,529834.138049
507 State St,507 State St,Temporary STR,1,2,03/13/2019 11:59:59 PM,"(29.9197125914913, -90.1223091664105)",3664462.53997,518322.32863
212 Loyola Ave Unit 605,212 Loyola Ave Unit 605,Temporary STR,2,4,05/13/2019 04:06:14 PM,"(29.9541264199179, -90.0747088756537)",3679403.34466,530998.93402
7429 Maple St,7429 Maple St,Accessory STR,2,4,02/22/2019 11:59:59 PM,"(29.94038419382, -90.1274907999113)",3662742.05293,525821.99136
1243 Annunciation St,1243 Annunciation St,Temporary STR,,,05/08/2019 08:18:09 AM,"(29.9378828422398, -90.0689158980211)",3681302.91925,525112.37337
ELYSAIN FIELDS INN,930 ELYSIAN FIELDS AVE,4703 - BED & BREAKFAST INNS,,,,"(29.9672382387658, -90.0570008404182)",3684957.62831,535828.899655
4109 Annunciation St,4109 Annunciation St,Accessory STR,3,6,08/14/2019 11:59:59 PM,"(29.9182775307448, -90.0980209740863)",3672161.90375,517882.61804
1916 N Rampart St Unit 3,1916 N Rampart St Unit 3,Accessory STR,1,2,08/29/2019 03:12:28 PM,"(29.9672688092692, -90.0598115303629)",3684067.59458,535830.11457
BLUE60 GUEST HOUSE,1008 ELYSIAN FIELDS AVE,4703 - BED & BREAKFAST INNS,,,,"(29.9677241246168, -90.0570469271323)",3684941.0685,536005.423239
1502 Governor Nicholls St,1502 Governor Nicholls St,Temporary STR,5,10,02/06/2019 01:23:52 PM,"(29.9669916324036, -90.0682575905504)",3681394.54664,535699.69978
1520 Ursulines Ave,1520 Ursulines Ave,Temporary STR,3,6,05/22/2019 11:59:59 PM,"(29.9662936417656, -90.0693635218832)",3681047.18939,535442.01997
4241 Tulane Ave,4241 Tulane Ave,Accessory STR,1,2,04/25/2019 11:55:08 AM,"(29.9701972094965, -90.1084736064446)",3668648.97296,536727.0259
932 Jackson Ave Apt 1,932 Jackson Ave Apt 1,Temporary STR,1,2,05/06/2019 11:59:59 PM,"(29.9284771592338, -90.0760360461858)",3679085.42747,521667.31417
THE BEE HOUSE,1028 PORT ST,4703 - BED & BREAKFAST INNS,,,,"(29.9682029305198, -90.0494737472103)",3687336.89679,536206.321479
4124 Laurel St A,4124 Laurel St A,Temporary STR,1,2,04/30/2019 11:04:27 AM,"(29.9188898045197, -90.0985059825261)",3672005.86689,518103.6069
MARIE LAVAEAU GUEST HOUSE,1024 ST ANN ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9610058673208, -90.0672785969097)",3681728.56309,533526.476036
1650 N Dorgenois St,1650 N Dorgenois St,Accessory STR,1,2,04/18/2019 11:33:25 AM,"(29.9792365929852, -90.072930976133)",3679865.89211,540136.12571
LE MERIDIEN NEW ORLEANS,333 POYDRAS ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9489511175088, -90.0661964576515)",3682119.68354,529146.713216
2606 Ursulines Ave Apt A 6464672164,2606 Ursulines Ave Apt A 6464672164,Temporary STR,3,6,05/30/2019 12:20:29 PM,"(29.9728931309259, -90.0790492291323)",3677954.23368,537808.14599
4 Carriage Ln,4 Carriage Ln,Accessory STR,3,6,04/24/2019 04:34:19 PM,"(29.9229222681982, -90.0225572774027)",3696047.34602,519837.18585
4744 Marigny St,4744 Marigny St,Accessory STR,1,2,07/19/2019 11:59:59 PM,"(30.0074484347205, -90.0584620150526)",3684332.31136,550445.71245
PARKS BOWMAN HOUSE,2705 CHESTNUT ST,4703 - BED & BREAKFAST INNS,,,,"(29.9284514385653, -90.0831684927405)",3676826.39893,521633.242745
1111 Lowerline St,1111 Lowerline St,Temporary STR,4,8,03/22/2019 11:59:59 PM,"(29.9424696363549, -90.1248410986006)",3663573.22458,526589.17856
HILTON NEW ORLEANS RIVERSIDE,2 POYDRAS ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9477298559466, -90.0632882153656)",3683045.57205,528712.8144
812 Gravier St Apt 506,812 Gravier St Apt 506,Commercial STR,1,2,06/07/2019 11:59:59 PM,"(29.9519177900293, -90.0714915089886)",3680430.99509,530206.99994
HG NEW ORLEANS CONVENTION CENTER,1001 S PETERS ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9416950126385, -90.0659604150431)",3682223.61666,526508.956862
618 Arabella St,618 Arabella St,Accessory STR,2,4,04/15/2019 05:39:49 PM,"(29.9199743900142, -90.1184774181743)",3665675.30951,518430.37676
4223 S Carrollton Ave Apt B,4223 S Carrollton Ave Apt B,Commercial STR,1,2,04/09/2019 11:59:59 PM,"(29.9703539574967, -90.1056221117494)",3669551.16927,536793.68745
1501 Marais St,1501 Marais St,Temporary STR,3,6,05/09/2019 04:20:51 PM,"(29.9689400237635, -90.0642029699433)",3682670.46223,536422.40391
THE MAGEE MANOR,3046 DUMAINE ST,4703 - BED & BREAKFAST INNS,,,,"(29.9749012002608, -90.0858460623078)",3675794.41281,538514.865737
2729 Lapeyrouse St,2729 Lapeyrouse St,Temporary STR,1,2,04/16/2019 11:59:59 PM,"(29.9804471839943, -90.0768644830608)",3678615.8004,540562.66683
MASON MOTEL INC,2309 S CLAIBORNE AVE,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9447947734847, -90.0911150452678)",3674244.97697,527548.905535
3506 Magazine St,3506 Magazine St,Commercial STR,1,2,05/15/2019 09:58:56 PM,"(29.9221909287878, -90.0909474301488)",3674387.18011,519329.89612
717 Antonine St,717 Antonine St,Accessory STR,1,2,04/18/2019 11:59:59 PM,"(29.9184082806456, -90.0911110601194)",3674350.2607,517953.82725
JW MARRIOT NEW ORLEANS,PO BOX 699,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,,,
30 Neron Pl lower apt,30 Neron Pl lower apt,Accessory STR,1,2,07/01/2019 09:03:50 PM,"(29.9535820373918, -90.1197399100981)",3665145.95642,530647.14739
4934 Music St,4934 Music St,Temporary STR,3,6,05/23/2019 11:59:59 PM,"(30.0091959230325, -90.0546659801947)",3685526.62198,551094.55452
2348 Magazine St,2348 Magazine St,Temporary STR,2,4,02/07/2019 11:59:59 PM,"(29.9282453488707, -90.0786620523874)",3678254.58965,521573.90246
AIRYN MONET,1816 MARENGO ST,4703 - BED & BREAKFAST INNS,,,,"(29.9292785984644, -90.0990398120032)",3671796.07163,521879.528762
5010 St Claude Ave,5010 St Claude Ave,Commercial STR,4,8,07/29/2019 11:59:59 PM,"(29.9623513513878, -90.0220564111107)",3696041.91907,534176.77985
FIVE CONTINENTS,1731 ESPLANADE AVE,4703 - BED & BREAKFAST INNS,,,,"(29.9705983676472, -90.0699975311805)",3680829.19087,537005.166344
6020 N Miro St,6020 N Miro St,Temporary STR,2,4,08/26/2019 11:59:59 PM,"(29.9706744075997, -90.0065537597328)",3700915.48487,537259.84167
MAISON PERRIER,4117 PERRIER ST,4703 - BED & BREAKFAST INNS,,,,"(29.9246606970105, -90.0988721909619)",3671867.25467,520200.862968
HAMPTON INN - ST. CHARLES,3626 SAINT CHARLES AVE,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,,,
905 Elysian Fields Ave,905 Elysian Fields Ave,Temporary STR,2,4,05/20/2019 09:33:14 PM,"(29.9667489262694, -90.0564348156542)",3685138.82377,535652.96417
BON MAISON GUEST HOUSE,835 BOURBON ST,4702 - ROOMING & BOARDING HOUSES,,,,"(29.960112114912, -90.0644025345515)",3682642.82792,533211.5481
4241 Tulane Ave,4241 Tulane Ave,Temporary STR,1,2,02/26/2019 03:07:41 PM,"(29.9701926604554, -90.1084684921863)",3668650.60986,536725.389
A CRESCENT CITY GUEST,612 MARIGNY ST,4703 - BED & BREAKFAST INNS,,,,"(29.9640294647124, -90.0552675337646)",3685519.43606,534668.187974
622 Napoleon Ave,622 Napoleon Ave,Accessory STR,,,09/30/2019 04:55:17 PM,"(29.9184525939968, -90.101527551848)",3671050.4306,517934.31916
FLEUR DE MARIGNY,919 TOURO ST,4703 - BED & BREAKFAST INNS,,,,"(29.9668755856128, -90.0590592047366)",3684307.38325,535689.772039
WINDSOR COURT HOTEL,300 GRAVIER ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9497948404032, -90.0662661592716)",3682094.21813,529453.277569
BLUEGREEN RESORTS MANAGEMENT,115 DECATUR ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9523838222829, -90.0668614404316)",3681895.3037,530392.642114
CKW INC,2624 URSULINES AVE,4702 - ROOMING & BOARDING HOUSES,,,,"(29.9730969815914, -90.079392692096)",3677844.68245,537881.083721
3308 Burgundy St Unit 102,3308 Burgundy St Unit 102,Commercial STR,3,6,05/07/2019 10:17:33 AM,"(29.9646143919382, -90.0419948341229)",3689719.52281,534928.00661
BLAKE HOTEL NEW ORLEANS,500 ST CHARLES AVE,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9490707599578, -90.0706250944808)",3680716.76725,529174.737728
THE MERCHANTILE HOTEL,727 S PETERS ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9455617682364, -90.0659728705608)",3682204.11989,527915.005567
FLEUR DE LIS MANSION,1216 ANNUNCIATION ST,4703 - BED & BREAKFAST INNS,,,,"(29.9384505518922, -90.068482437876)",3681437.92149,525320.328189
1414 Franklin Ave,1414 Franklin Ave,Commercial STR,2,4,08/02/2019 03:10:59 PM,"(29.9724146123604, -90.0494160359013)",3687338.00815,537738.04942
LA DAUPHINE,2316 DAUPHINE ST,4703 - BED & BREAKFAST INNS,,,,"(29.9654648740989, -90.0548460437539)",3685647.06697,535191.64455
301 St Charles Ave 501,301 St Charles Ave 501,Commercial STR,2,4,02/26/2019 11:59:59 PM,"(29.9514404063902, -90.0701851513209)",3680846.58686,530037.96364
1024 Cambronne St,1024 Cambronne St,Accessory STR,1,2,06/17/2019 06:22:15 PM,"(29.9485441424244, -90.1335247229199)",3660800.01734,528769.20333
LE RICHELIEU CORP,1234 CHARTRES ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.961898541343, -90.0597200115729)",3684118.27682,533877.608325
1217 Kerlerec St,1217 Kerlerec St,Accessory STR,2,4,10/22/2019 11:59:59 PM,"(29.9676736223067, -90.0641037461829)",3682706.97858,535962.24097
3325 Dauphine St,3325 Dauphine St,Accessory STR,,,04/15/2019 07:53:15 PM,"(29.9639883563491, -90.0418521914696)",3689767.25276,534700.86631
HILTON N O RIVERSIDE HOTEL,2 POYDRAS ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9477298559466, -90.0632882153656)",3683045.57205,528712.8144
2830 Cleveland Ave,2830 Cleveland Ave,Temporary STR,2,4,05/21/2019 11:59:59 PM,"(29.9659413649505, -90.0903835743317)",3674393.21153,535241.11418
DAUZAT HOUSE,337 BURGUNDY ST,4702 - ROOMING & BOARDING HOUSES,,,,"(29.9574038277462, -90.0697140121985)",3680971.86677,532208.128515
4011 Iberville St,4011 Iberville St,Commercial STR,3,6,09/06/2019 09:48:53 AM,"(29.9751281902586, -90.0989168413796)",3671655.4066,538552.59214
HOTEL ST MARIE,827 TOULOUSE ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9584033948198, -90.0667506755799)",3681906.18293,532581.968004
4700 Music ST,4700 Music ST,Temporary STR,4,8,04/13/2019 11:59:59 PM,"(30.006857414949, -90.0545621895831)",3685568.96022,550244.54792
MAISON DUBOIS,1419 DAUPHINE ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9651037575276, -90.0614441286419)",3683559.42645,535037.079878
400 Poydras St STE. 3150,400 Poydras St STE. 3150,Commercial STR,2,4,06/25/2019 11:59:59 PM,"(29.9468244996965, -90.0682845293033)",3681466.98202,528366.09102
ST. PETER GUEST HOUSE,1005 ST PETER ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9599363707562, -90.0675269276504)",3681654.22882,533136.698692
4318 Willow St,4318 Willow St,Accessory STR,3,6,04/02/2019 11:59:59 PM,"(29.9390679487153, -90.1025955365952)",3670631.60334,525427.18464
8137 Pritchard PL,8137 Pritchard PL,Temporary STR,2,4,04/01/2019 11:59:59 PM,"(29.9603624991073, -90.1173005005503)",3665892.25658,533120.97485
LA BELLE ESPLANADE,2216 ESPLANADE AVE,4703 - BED & BREAKFAST INNS,,,,"(29.9731431864984, -90.0744009289622)",3679424.8813,537915.214793
400 Poydras St STE. 3150,400 Poydras St STE. 3150,Commercial STR,1,2,06/25/2019 11:59:59 PM,"(29.9468652327132, -90.0683361479613)",3681450.47183,528380.72256
931 Milan St,931 Milan St,Accessory STR,1,2,05/17/2019 11:59:59 PM,"(29.9216888829226, -90.0990693188532)",3671816.45441,519119.53062
THE DRIFTER HOTEL,3522 TULANE AVE,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9659613582932, -90.1002083234743)",3671282.40641,535214.774342
812 Gravier St Apt 508,812 Gravier St Apt 508,Commercial STR,1,2,06/06/2019 11:59:59 PM,"(29.9519049693519, -90.0714987983891)",3680428.73813,530202.31245
LOOKOUT INN NEW ORLEANS,833 POLAND AVE,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9622107611043, -90.0320195529497)",3692887.86205,534089.692165
MARQUETTE HOUSE HOTEL,2253 CARONDELET ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.934401491949, -90.0826292798969)",3676973.57262,523798.761339
AC HOTEL NEW ORLEANS BOURBON/FRENCH QUARTER AREA,221 CARONDELET ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9523525883641, -90.0712055731135)",3680519.79951,530366.105858
ROYAL INN OF NEW ORLEANS,4950 CHEF MENTEUR HWY,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(30.0066297975822, -90.031814993349)",3692769.16221,550242.836884
301 St Charles Ave 205,301 St Charles Ave 205,Commercial STR,1,2,02/26/2019 11:59:59 PM,"(29.9515157555793, -90.0702775255026)",3680817.033,530065.04092
2332 Chippewa St,2332 Chippewa St,Temporary STR,2,4,04/22/2019 11:59:59 PM,"(29.9252044159214, -90.0756118361589)",3679232.85455,520478.70233
337-339 S Telemachas,337-339 S Telemachas,Accessory STR,2,4,09/18/2019 11:59:59 PM,"(29.9696462787448, -90.0991904508147)",3671590.25445,536558.22328
3116 St Ann St n/a,3116 St Ann St n/a,Temporary STR,2,4,04/03/2019 01:36:54 PM,"(29.9745470808115, -90.0873056932205)",3675333.70446,538381.06619
500 Pelican Ave Apt. B,500 Pelican Ave Apt. B,Temporary STR,1,2,04/03/2019 10:45:06 AM,"(29.9533161413095, -90.0510714394109)",3686891.62569,530787.27674
QUEEN & CRESCENT HOTEL,344 CAMP ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9500548215129, -90.0690015589368)",3681226.95074,529538.247873
863 Camp St,863 Camp St,Commercial STR,5,10,10/24/2019 11:59:59 PM,"(29.944314835158, -90.0709786838086)",3680623.84744,527444.07597
W.M.COX,2109 CHARTRES ST,4703 - BED & BREAKFAST INNS,,,,"(29.9636562037499, -90.0574602933431)",3684826.66185,534524.719109
MOTEL 6,12330 I-10 E SERVICE RD,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,,,
4452 Spain St,4452 Spain St,Temporary STR,4,8,08/23/2019 10:51:38 AM,"(30.004299012209, -90.0564045247727)",3684996.24642,549307.71004
MARIGNY MANOR HOUSE,2125 N RAMPART ST,4703 - BED & BREAKFAST INNS,,,,"(29.9676004082426, -90.0574243778576)",3684822.063,535959.104455
8716 Spruce St,8716 Spruce St,Temporary STR,4,8,05/28/2019 11:59:59 PM,"(29.9572893231977, -90.1291824027749)",3662141.71456,531963.71546
7507 Silver Maple Lane,7507 Silver Maple Lane,Temporary STR,3,6,05/09/2019 08:57:57 AM,"(30.0125397393421, -90.1049918629326)",3669586.2617,552136.26492
MONTE CARLO MOTEL,6061 CHEF MENTEUR HWY,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(30.0108392155705, -90.0181697510768)",3697070.17898,551822.851414
5717 St Claude Ave,5717 St Claude Ave,Accessory STR,3,6,08/01/2019 09:15:27 AM,"(29.9610567692086, -90.0141614214159)",3698547.13348,533734.71751
5307 S Rocheblave St,5307 S Rocheblave St,Accessory STR,1,2,05/09/2019 10:18:48 AM,"(29.9471691085386, -90.1080670673139)",3668867.23,528354.5
CARRIE'S COOL PROPERTIES,1466 MAGAZINE ST,4703 - BED & BREAKFAST INNS,,,,"(29.934758714204, -90.0722224162318)",3680268.21583,523964.787068
MELROSE MANSION,P.O. BOX 6917,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,,,
PETER AND PAUL HOTEL,2317 BURGUNDY ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9668273498011, -90.0549644860817)",3685604.03804,535686.672647
INTERNATIONAL HOUSE HOTEL,221 CAMP ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9511860242385, -90.0689382847115)",3681242.44879,529949.815745
JELLY ROLL SUITES,320 ANDREW HIGGINS ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,,,
MONROSE ROW B & B,1303 GOVERNOR NICHOLLS ST,4703 - BED & BREAKFAST INNS,,,,"(29.9661144460927, -90.0665347067278)",3681943.56802,535386.748742
HUBBARD MANSION BED & BREAKFAST,3535 ST CHARLES AVE,4703 - BED & BREAKFAST INNS,,,,"(29.9280162615835, -90.0934302440832)",3673577.80142,521439.679737
HOTEL 504,1300 CANAL ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9564259319667, -90.0743261770644)",3679515.34165,531836.453187
1924 St Claude Ave,1924 St Claude Ave,Accessory STR,1,2,05/22/2019 02:06:22 PM,"(29.9681019426608, -90.0597156563512)",3684094.58242,536133.41025
5418 General Diaz St,5418 General Diaz St,Accessory STR,3,6,09/23/2019 05:33:22 PM,"(29.987427421018, -90.1073008565604)",3668953.2347,542996.58107
1421 Marais St Apt 4,1421 Marais St Apt 4,Temporary STR,1,2,04/22/2019 11:59:59 PM,"(29.9680102495216, -90.0656110028972)",3682228.40405,536079.36826
KATHERINE B SENTER,43 FONTAINEBLEAU DR,4703 - BED & BREAKFAST INNS,,,,"(29.9555851984752, -90.1160984836188)",3666291.31751,531387.804931
NOLA PLACE,616 LOUISA ST,4703 - BED & BREAKFAST INNS,,,,"(29.9625189583777, -90.043974118993)",3689101.40764,534158.973381
631 Kerlerec St,631 Kerlerec St,Temporary STR,2,4,03/20/2019 01:09:41 PM,"(29.964063464059, -90.0588893125008)",3684372.54773,534667.77869
MASON D'OR,1911 ROYAL ST,4703 - BED & BREAKFAST INNS,,,,"(29.9643457814521, -90.0591790987773)",3684279.65218,534769.419334
1476 N Claiborne Ave,1476 N Claiborne Ave,Commercial STR,3,6,06/07/2019 11:59:59 PM,"(29.9706887014259, -90.0670246789888)",3681770.05045,537048.40468
